Age,Gender,Weight_kg,Height_cm,Max_BPM,Avg_BPM,Resting_BPM,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake_Liters,Workout_Frequency_Days,Experience_Level,BMI,Duration_Minutes,Calories_Per_Min
45,Male,84.9,186.0,186,136,66,1104.0,HIIT,14.2,3.5,5,3,24.54,98,11.27
33,Female,78.0,168.0,183,135,55,871.0,HIIT,32.3,1.8,3,2,27.64,77,11.31
32,Male,108.2,180.0,172,138,53,964.0,HIIT,28.4,3.5,3,1,33.4,76,12.68
54,Female,50.2,161.0,188,157,67,1046.0,HIIT,28.2,2.7,2,1,19.37,89,11.75
24,Female,58.9,151.0,187,157,68,816.0,Cardio,31.7,2.5,2,1,25.83,62,13.16
38,Male,81.4,171.0,187,148,58,1237.0,HIIT,10.2,3.5,5,3,27.84,91,13.59
26,Male,127.6,173.0,167,160,62,1162.0,Fuerza,27.3,2.9,3,1,42.63,79,14.71
56,Female,59.3,156.0,182,155,57,879.0,Cardio,33.4,2.6,4,2,24.37,76,11.57
35,Male,96.9,171.0,188,145,72,1069.0,Fuerza,24.2,2.9,3,2,33.14,80,13.36
21,Male,62.6,181.0,164,150,62,1072.0,Fuerza,27.6,3.5,4,2,19.11,78,13.74
42,Male,45.5,160.0,166,163,64,1057.0,Fuerza,21.7,2.6,3,2,17.77,79,13.38
31,Female,48.8,151.0,195,131,60,969.0,Cardio,28.2,2.0,2,1,21.4,89,10.89
26,Female,44.3,160.0,186,136,61,734.0,Cardio,34.7,2.0,3,1,17.3,65,11.29
19,Female,60.5,159.0,184,128,53,730.0,Cardio,30.1,2.2,2,1,23.93,68,10.74
37,Male,124.2,176.0,168,158,50,1304.0,HIIT,29.3,2.8,2,1,40.1,90,14.49
45,Male,52.4,185.0,186,161,73,956.0,Fuerza,25.2,2.5,3,1,15.31,72,13.28
25,Male,88.1,195.0,182,131,68,1016.0,Cardio,22.7,3.0,2,1,23.17,85,11.95
52,Female,59.7,171.0,169,151,58,836.0,Fuerza,34.3,2.0,3,1,20.42,74,11.3
31,Female,79.7,154.0,184,144,59,742.0,Cardio,26.7,2.3,4,2,33.61,62,11.97
53,Male,84.2,176.0,165,137,69,1133.0,Cardio,12.8,3.5,5,3,27.18,100,11.33
57,Male,122.1,189.0,165,134,58,750.0,Cardio,27.4,3.6,3,1,34.18,68,11.03
21,Male,96.7,172.0,161,151,62,1046.0,Fuerza,25.0,2.8,3,1,32.69,76,13.76
19,Female,73.0,179.0,177,125,61,506.0,HIIT,27.7,1.6,3,1,22.78,49,10.33
23,Male,114.8,160.0,182,163,60,1318.0,Cardio,21.7,2.7,4,2,44.84,88,14.98
21,Female,50.3,152.0,171,154,67,832.0,Cardio,32.2,2.6,3,1,21.77,65,12.8
46,Female,61.0,171.0,181,153,61,1150.0,Cardio,17.8,2.7,4,3,20.86,100,11.5
35,Female,44.6,162.0,196,157,65,440.0,HIIT,32.4,2.0,2,1,16.99,34,12.94
43,Female,58.2,161.0,179,124,54,580.0,Fuerza,26.4,2.6,3,2,22.45,62,9.35
27,Male,87.5,163.0,183,135,74,1299.0,Fuerza,12.9,3.5,5,3,32.93,105,12.37
53,Male,51.8,174.0,179,127,61,773.0,Fuerza,21.3,3.7,3,2,17.11,74,10.45
31,Female,64.4,170.0,160,144,70,1418.0,Fuerza,17.3,2.7,5,3,22.28,118,12.02
48,Female,67.1,161.0,160,151,74,421.0,Cardio,33.4,1.5,2,1,25.89,37,11.38
32,Male,85.9,160.0,176,145,60,1587.0,HIIT,14.5,3.5,5,3,33.55,119,13.34
25,Female,65.4,177.0,160,141,58,627.0,Cardio,27.6,2.6,3,1,20.88,53,11.83
40,Male,106.5,165.0,162,162,74,1176.0,HIIT,21.0,3.6,4,2,39.12,79,14.89
57,Female,64.0,152.0,170,129,52,1004.0,Fuerza,15.2,2.7,5,3,27.7,104,9.65
38,Female,61.4,154.0,183,131,69,963.0,HIIT,30.6,2.7,3,2,25.89,88,10.94
35,Male,70.1,179.0,185,125,63,743.0,Cardio,28.0,2.3,3,2,21.88,65,11.43
41,Male,94.1,162.0,172,139,50,777.0,Cardio,23.4,3.1,4,2,35.86,68,11.43
43,Male,55.5,182.0,160,124,66,663.0,Fuerza,20.1,2.0,3,1,16.76,65,10.2
42,Female,53.7,172.0,183,142,74,875.0,Cardio,29.8,1.6,3,1,18.15,82,10.67
58,Female,66.1,175.0,169,128,57,363.0,Cardio,25.2,1.8,2,1,21.58,38,9.55
32,Female,61.7,158.0,183,135,54,1262.0,HIIT,16.6,2.7,5,3,24.72,112,11.27
18,Female,52.3,174.0,187,165,58,990.0,Cardio,29.4,2.2,2,1,17.27,72,13.75
26,Female,76.7,163.0,199,139,72,751.0,Fuerza,25.6,1.7,2,1,28.87,65,11.55
18,Female,54.8,168.0,176,158,71,1003.0,Fuerza,32.0,2.2,4,2,19.42,76,13.2
25,Male,105.0,188.0,174,156,67,1150.0,Cardio,21.4,2.3,3,2,29.71,80,14.38
41,Female,55.0,155.0,175,169,65,1103.0,Fuerza,31.4,2.0,4,2,22.89,87,12.68
34,Female,75.6,160.0,193,130,51,416.0,HIIT,29.1,2.7,2,1,29.53,38,10.95
25,Male,81.5,161.0,170,159,63,1688.0,HIIT,10.9,3.5,4,3,31.44,116,14.55
52,Female,61.5,169.0,160,152,63,1231.0,Cardio,15.5,2.7,4,3,21.53,108,11.4
52,Male,74.0,163.0,174,150,50,936.0,Cardio,25.7,3.7,3,2,27.85,76,12.32
50,Female,56.4,159.0,185,163,74,924.0,HIIT,34.3,2.6,3,1,22.31,76,12.16
22,Male,102.6,184.0,163,153,65,1052.0,Fuerza,20.5,2.7,3,2,30.3,75,14.03
59,Female,54.6,157.0,164,169,64,441.0,Cardio,29.2,2.3,3,1,22.15,35,12.6
58,Male,103.5,166.0,172,168,61,1106.0,Cardio,24.6,3.1,3,1,37.56,80,13.82
45,Female,59.4,151.0,169,142,65,735.0,Fuerza,33.1,1.9,4,2,26.05,69,10.65
24,Female,60.1,179.0,170,165,63,1625.0,Cardio,15.9,2.7,4,3,18.76,118,13.77
51,Male,109.3,178.0,182,157,64,420.0,Fuerza,28.7,3.3,3,1,34.5,32,13.12
50,Male,69.6,196.0,166,139,68,667.0,Fuerza,25.6,2.0,3,1,18.12,58,11.5
54,Male,86.0,193.0,171,163,51,1404.0,Fuerza,12.9,3.5,5,3,23.09,104,13.5
52,Female,79.4,159.0,166,163,59,1020.0,Fuerza,26.6,1.5,3,2,31.41,83,12.29
57,Female,78.4,162.0,185,149,52,677.0,Fuerza,31.7,2.0,4,2,29.87,61,11.1
39,Female,55.4,160.0,192,136,72,979.0,HIIT,26.3,1.6,3,2,21.64,86,11.38
44,Female,61.7,155.0,196,129,66,819.0,Fuerza,33.1,2.6,4,2,25.68,85,9.64
18,Male,87.6,193.0,161,139,72,1315.0,HIIT,11.9,3.5,4,3,23.52,103,12.77
52,Male,82.4,172.0,166,137,53,685.0,Fuerza,24.4,2.7,4,2,27.85,61,11.23
31,Female,42.3,160.0,163,163,70,888.0,Cardio,25.1,1.9,3,2,16.52,65,13.66
20,Male,82.7,199.0,179,146,59,1357.0,HIIT,14.6,3.5,5,3,20.88,101,13.44
22,Female,63.2,154.0,191,155,53,790.0,Cardio,29.5,2.4,4,2,26.65,61,12.95
31,Male,86.6,176.0,172,151,66,1071.0,Fuerza,28.9,3.3,3,2,27.96,77,13.91
56,Male,129.5,195.0,160,129,66,639.0,Fuerza,25.2,3.5,2,1,34.06,60,10.65
44,Male,98.0,183.0,194,130,56,824.0,Cardio,25.7,3.5,4,2,29.26,77,10.7
26,Male,86.2,168.0,189,157,72,1701.0,Fuerza,13.3,3.5,5,3,30.54,118,14.42
32,Female,59.0,166.0,184,160,64,408.0,Cardio,31.0,1.8,2,1,21.41,31,13.16
49,Female,45.2,174.0,164,156,73,870.0,Fuerza,30.8,2.1,3,2,14.93,74,11.76
56,Male,55.6,192.0,181,136,62,458.0,Fuerza,29.4,3.2,3,1,15.08,41,11.17
21,Male,125.2,166.0,196,159,60,1207.0,HIIT,29.8,3.4,3,2,45.43,83,14.54
40,Female,63.5,161.0,163,159,59,1041.0,Cardio,33.4,1.6,3,2,24.5,79,13.18
32,Female,70.5,162.0,177,122,58,756.0,Fuerza,28.4,1.8,2,1,26.86,74,10.22
46,Female,60.1,165.0,175,137,69,1042.0,Cardio,17.3,2.7,4,3,22.08,101,10.32
53,Male,94.1,195.0,177,138,50,608.0,HIIT,28.6,3.5,3,1,24.75,53,11.47
30,Female,79.2,162.0,181,166,66,1046.0,Cardio,28.0,2.5,4,2,30.18,76,13.76
49,Male,115.3,191.0,161,125,61,854.0,HIIT,29.2,3.2,2,1,31.61,83,10.29
24,Female,62.9,179.0,180,135,59,958.0,Cardio,27.3,2.3,4,2,19.63,85,11.27
39,Male,62.0,164.0,195,127,54,678.0,Cardio,27.5,3.2,3,1,23.05,58,11.69
45,Male,88.5,178.0,198,167,67,1265.0,HIIT,13.2,3.5,4,3,27.93,92,13.75
19,Female,73.9,177.0,198,137,64,877.0,Fuerza,32.5,2.6,3,2,23.59,77,11.39
59,Male,50.3,195.0,188,167,55,885.0,Fuerza,24.4,3.4,3,1,13.23,64,13.83
23,Male,83.1,180.0,185,162,56,624.0,Fuerza,29.3,3.1,3,1,25.65,42,14.86
45,Female,65.1,178.0,180,158,66,1038.0,Cardio,31.3,2.3,3,1,20.55,88,11.8
37,Male,103.5,189.0,175,168,57,499.0,Cardio,26.4,3.1,2,1,28.97,32,15.59
45,Male,113.4,171.0,190,129,63,530.0,Fuerza,24.0,2.3,2,1,38.78,50,10.6
56,Female,40.4,180.0,196,165,72,913.0,Cardio,30.0,2.1,4,2,12.47,74,12.34
50,Female,67.1,175.0,161,120,59,362.0,Cardio,31.8,2.7,3,1,21.91,40,9.05
18,Male,70.0,161.0,173,168,71,1201.0,Fuerza,23.9,2.5,2,1,27.01,78,15.4
44,Female,69.5,175.0,192,155,69,711.0,HIIT,27.6,2.1,3,1,22.69,61,11.66
30,Male,107.9,166.0,194,140,64,832.0,Cardio,29.5,2.8,3,2,39.16,65,12.8
20,Male,101.0,191.0,179,143,58,1070.0,Cardio,29.3,2.7,3,2,27.69,82,13.05
56,Male,88.5,185.0,161,144,59,1119.0,Cardio,11.0,3.5,4,3,25.86,94,11.9
23,Male,80.9,180.0,178,126,59,1074.0,Cardio,10.7,3.5,4,3,24.97,93,11.55
25,Female,43.1,162.0,196,161,65,837.0,HIIT,33.6,1.8,4,2,16.42,62,13.5
26,Female,54.0,153.0,175,148,54,844.0,Fuerza,26.9,1.7,3,1,23.07,68,12.41
54,Female,72.3,178.0,163,149,72,852.0,Cardio,27.7,1.8,2,1,22.82,76,11.21
41,Male,51.5,180.0,166,126,60,680.0,Fuerza,26.7,2.1,4,2,15.9,65,10.46
32,Male,87.9,188.0,173,143,64,1195.0,Cardio,11.6,3.5,5,3,24.87,91,13.13
49,Female,42.0,152.0,171,130,70,644.0,HIIT,28.8,2.2,3,1,18.18,66,9.76
41,Male,64.8,171.0,164,131,54,778.0,Fuerza,22.5,2.8,3,2,22.16,72,10.81
58,Female,63.0,178.0,176,154,73,1095.0,HIIT,17.5,2.7,4,3,19.88,95,11.53
56,Female,52.9,164.0,169,155,53,767.0,Cardio,27.4,2.3,3,2,19.67,66,11.62
20,Male,128.2,184.0,164,132,58,603.0,HIIT,26.2,2.3,3,1,37.87,50,12.06
54,Male,83.6,186.0,168,142,56,1082.0,HIIT,12.4,3.5,5,3,24.16,92,11.76
34,Female,56.2,177.0,192,138,59,1249.0,Cardio,17.3,2.7,5,3,17.94,109,11.46
19,Male,87.8,178.0,195,161,72,1133.0,Cardio,23.6,3.3,2,1,27.71,77,14.71
19,Male,85.9,185.0,195,156,62,1424.0,Fuerza,12.9,3.5,4,3,25.1,100,14.24
45,Male,51.1,187.0,177,158,57,1126.0,Cardio,26.2,3.4,4,2,14.61,86,13.09
40,Female,57.4,171.0,168,143,61,1337.0,Fuerza,18.3,2.7,5,3,19.63,112,11.94
54,Male,114.9,192.0,188,135,71,802.0,HIIT,20.7,2.6,4,2,31.17,72,11.14
49,Female,62.1,166.0,173,152,73,937.0,HIIT,31.3,1.8,3,2,22.54,82,11.43
36,Male,69.2,165.0,165,126,65,852.0,Fuerza,27.2,2.7,3,1,25.42,74,11.51
19,Female,65.2,152.0,188,130,71,800.0,Cardio,30.6,2.4,3,1,28.22,74,10.81
43,Male,108.6,173.0,174,150,66,988.0,Cardio,28.5,2.2,2,1,36.29,80,12.35
23,Female,41.9,158.0,163,132,67,370.0,HIIT,26.8,1.8,3,1,16.78,34,10.88
49,Female,68.3,152.0,177,150,60,979.0,Fuerza,29.4,1.8,4,2,29.56,87,11.25
21,Male,88.4,160.0,198,121,67,1138.0,HIIT,12.0,3.5,4,3,34.53,103,11.05
28,Male,66.0,190.0,175,158,56,1025.0,HIIT,24.1,3.0,3,1,18.28,71,14.44
34,Male,71.9,164.0,170,134,67,929.0,Cardio,21.3,2.1,4,2,26.73,76,12.22
55,Male,75.6,171.0,173,130,57,663.0,Fuerza,28.1,2.0,4,2,25.85,62,10.69
41,Female,63.4,159.0,162,153,55,1267.0,HIIT,15.2,2.7,5,3,25.08,110,11.52
23,Male,83.8,199.0,179,130,71,1280.0,Cardio,11.0,3.5,4,3,21.16,107,11.96
33,Female,65.3,171.0,172,135,74,796.0,HIIT,29.7,2.5,4,2,22.33,71,11.21
23,Female,78.6,173.0,192,156,56,1147.0,HIIT,32.3,1.5,4,2,26.26,88,13.03
33,Female,78.0,171.0,187,136,58,734.0,Cardio,26.3,2.1,3,1,26.67,65,11.29
46,Female,58.0,153.0,196,140,62,1153.0,Cardio,18.4,2.7,4,3,24.78,110,10.48
20,Female,71.3,169.0,167,163,52,1043.0,Fuerza,33.4,2.3,3,2,24.96,77,13.55
53,Female,78.3,165.0,164,126,50,703.0,HIIT,33.7,1.6,3,1,28.76,74,9.5
36,Female,57.3,164.0,164,157,70,887.0,Fuerza,25.3,1.8,4,2,21.3,68,13.04
43,Female,48.4,161.0,190,127,69,732.0,Cardio,34.1,2.4,2,1,18.67,77,9.51
20,Male,76.4,162.0,168,132,51,980.0,Cardio,21.2,2.6,4,2,29.11,81,12.1
36,Male,110.2,177.0,191,156,74,1021.0,HIIT,26.5,3.4,2,1,35.18,71,14.38
37,Female,72.9,176.0,192,121,52,732.0,Fuerza,27.5,1.9,3,2,23.53,73,10.03
49,Male,82.1,186.0,162,160,64,1481.0,Fuerza,14.2,3.5,4,3,23.73,112,13.22
24,Female,58.9,176.0,189,130,73,410.0,HIIT,30.1,1.7,3,1,19.01,38,10.79
58,Male,82.2,187.0,171,143,55,1111.0,HIIT,10.7,3.5,4,3,23.51,94,11.82
50,Male,96.7,172.0,188,125,62,903.0,Fuerza,25.7,2.7,3,2,32.69,88,10.26
57,Male,81.4,186.0,162,145,70,1292.0,Cardio,12.0,3.5,5,3,23.53,108,11.96
35,Female,65.8,162.0,189,158,69,790.0,Cardio,33.8,1.5,4,2,25.07,60,13.17
57,Female,68.5,156.0,168,138,68,900.0,HIIT,29.1,1.6,4,2,28.15,87,10.34
18,Female,63.9,159.0,185,125,50,1169.0,Fuerza,16.4,2.7,4,3,25.28,112,10.44
28,Male,76.3,162.0,161,162,70,1034.0,Fuerza,20.1,2.3,3,2,29.07,70,14.77
42,Female,50.7,175.0,163,162,51,940.0,Fuerza,29.0,1.9,3,2,16.56,77,12.21
48,Male,73.7,161.0,172,121,63,815.0,Cardio,21.8,3.6,4,2,28.43,82,9.94
47,Male,55.6,177.0,198,138,68,820.0,Cardio,24.3,2.9,4,2,17.75,72,11.39
59,Male,86.9,176.0,194,123,60,688.0,Fuerza,29.8,3.1,3,2,28.05,68,10.12
52,Female,60.3,168.0,182,125,64,900.0,Fuerza,16.5,2.7,4,3,21.36,96,9.38
24,Female,40.4,164.0,168,168,55,832.0,HIIT,31.0,1.9,2,1,15.02,59,14.1
33,Female,78.5,166.0,161,156,69,1006.0,HIIT,32.8,1.9,4,2,28.49,77,13.06
43,Male,102.6,172.0,190,147,58,597.0,Fuerza,27.5,2.0,2,1,34.68,49,12.18
19,Male,110.8,191.0,161,149,54,1074.0,Fuerza,23.3,2.9,2,1,30.37,79,13.59
18,Female,60.9,179.0,191,126,69,699.0,Cardio,31.1,2.1,2,1,19.01,67,10.43
29,Male,55.7,161.0,177,128,51,993.0,Fuerza,28.7,2.3,3,1,21.49,85,11.68
22,Male,110.5,192.0,172,144,55,919.0,HIIT,20.2,3.3,3,2,29.98,70,13.13
54,Male,55.2,171.0,164,152,67,579.0,Cardio,24.4,2.8,2,1,18.88,46,12.59
26,Female,70.9,166.0,184,125,68,506.0,HIIT,28.9,1.7,3,1,25.73,49,10.33
58,Male,74.6,175.0,193,137,58,739.0,HIIT,24.2,2.9,2,1,24.36,65,11.37
52,Male,45.1,172.0,196,129,70,594.0,Cardio,27.5,3.3,2,1,15.24,56,10.61
33,Male,117.0,161.0,166,130,55,744.0,HIIT,25.1,2.4,3,2,45.14,62,12.0
20,Female,75.9,173.0,165,152,63,1056.0,Fuerza,30.6,2.1,4,2,25.36,83,12.72
37,Female,71.2,164.0,162,120,73,666.0,HIIT,29.9,1.7,3,2,26.47,67,9.94
41,Male,78.8,172.0,172,132,62,660.0,Cardio,27.3,3.1,4,2,26.64,61,10.82
50,Male,50.6,169.0,162,156,60,1012.0,Cardio,23.8,3.0,2,1,17.72,79,12.81
41,Male,82.5,179.0,185,139,61,1163.0,Cardio,14.7,3.5,4,3,25.75,101,11.51
28,Male,108.5,179.0,183,120,68,878.0,HIIT,24.8,2.1,4,2,33.86,80,10.98
53,Male,125.1,191.0,171,137,70,353.0,Fuerza,28.3,3.1,2,1,34.29,31,11.39
55,Female,79.7,166.0,195,160,68,763.0,Cardio,27.8,1.9,2,1,28.92,64,11.92
37,Female,54.6,157.0,170,150,62,982.0,Fuerza,32.1,2.4,3,1,22.15,79,12.43
52,Female,47.8,154.0,198,146,63,880.0,Cardio,29.8,1.9,3,2,20.16,80,11.0
42,Male,97.9,191.0,193,136,73,680.0,Fuerza,29.0,2.8,3,2,26.84,61,11.15
52,Female,63.1,154.0,185,165,67,1010.0,Fuerza,34.8,1.8,3,2,26.61,82,12.32
46,Female,58.9,170.0,180,155,53,1060.0,Fuerza,17.1,2.7,4,3,20.38,91,11.65
35,Female,50.4,160.0,195,156,59,803.0,Cardio,29.1,1.9,4,2,19.69,62,12.95
19,Female,58.8,177.0,181,136,53,952.0,HIIT,32.8,2.7,2,1,18.77,84,11.33
52,Male,105.2,162.0,189,141,61,949.0,HIIT,27.6,3.2,3,1,40.09,82,11.57
58,Female,65.2,163.0,167,121,53,610.0,HIIT,25.4,2.0,3,2,24.54,67,9.1
53,Female,56.3,179.0,193,141,59,964.0,Fuerza,16.5,2.7,5,3,17.57,91,10.59
50,Male,90.0,170.0,168,124,74,497.0,Cardio,22.9,2.7,2,1,31.14,49,10.14
21,Female,60.0,170.0,179,123,52,1212.0,Fuerza,19.1,2.7,5,3,20.76,118,10.27
31,Female,63.1,164.0,184,125,51,962.0,Cardio,19.0,2.7,4,3,23.46,92,10.46
24,Female,42.0,175.0,174,144,55,598.0,Fuerza,31.8,2.3,3,1,13.71,50,11.96
20,Male,128.4,192.0,167,145,57,502.0,Cardio,26.1,2.0,2,1,34.83,38,13.21
34,Female,74.2,157.0,178,158,52,1161.0,Cardio,32.7,2.4,3,1,30.1,88,13.19
50,Male,89.6,168.0,182,139,74,1232.0,Cardio,12.2,3.5,5,3,31.75,107,11.51
29,Male,125.9,200.0,186,152,67,1137.0,Fuerza,24.7,3.1,4,2,31.48,82,13.87
39,Male,105.5,199.0,199,133,71,593.0,HIIT,26.4,2.5,2,1,26.64,49,12.1
39,Male,93.4,170.0,191,155,50,938.0,Fuerza,21.1,2.5,4,2,32.32,66,14.21
47,Male,82.1,184.0,185,136,65,922.0,Fuerza,24.4,3.4,4,2,24.25,82,11.24
55,Male,128.4,168.0,178,165,52,923.0,Cardio,20.4,2.6,4,2,45.49,68,13.57
25,Male,112.4,196.0,188,135,72,1054.0,Cardio,23.2,2.5,2,1,29.26,85,12.4
44,Female,77.7,179.0,198,165,53,1047.0,HIIT,28.1,2.2,3,1,24.25,85,12.32
44,Male,89.3,199.0,192,135,58,936.0,HIIT,26.3,2.0,4,2,22.55,84,11.14
38,Female,59.1,172.0,196,148,68,792.0,Cardio,31.3,1.7,3,2,19.98,64,12.38
47,Female,49.9,169.0,178,147,64,979.0,HIIT,26.0,1.7,3,2,17.47,89,11.0
50,Male,101.7,167.0,192,127,57,333.0,HIIT,20.9,2.9,2,1,36.47,32,10.41
45,Male,93.0,191.0,175,143,55,729.0,Cardio,27.3,3.7,3,2,25.49,62,11.76
50,Male,87.4,160.0,182,122,67,465.0,Fuerza,23.2,3.1,2,1,34.14,46,10.11
22,Female,55.1,161.0,166,144,68,1166.0,HIIT,19.9,2.7,4,3,21.26,97,12.02
36,Male,123.7,169.0,185,138,73,987.0,Cardio,20.4,2.1,4,2,43.31,78,12.65
21,Female,61.3,157.0,191,152,64,1474.0,HIIT,17.2,2.7,4,3,24.87,116,12.71
34,Female,69.2,153.0,167,134,59,911.0,HIIT,28.5,2.1,2,1,29.56,82,11.11
45,Male,81.4,161.0,164,141,55,796.0,Cardio,30.0,2.2,4,2,31.4,68,11.71
47,Male,84.8,186.0,187,129,63,1181.0,HIIT,14.4,3.5,5,3,24.51,111,10.64
52,Female,64.9,151.0,164,165,68,1359.0,HIIT,18.2,2.7,4,3,28.46,110,12.35
58,Male,109.7,175.0,181,168,54,840.0,HIIT,22.1,2.7,2,1,35.82,61,13.77
46,Female,63.1,161.0,187,152,68,684.0,Fuerza,34.7,2.2,4,2,24.34,60,11.4
48,Female,62.9,158.0,192,124,69,1105.0,Fuerza,20.0,2.7,4,3,25.2,119,9.29
50,Female,66.3,157.0,192,132,73,742.0,HIIT,31.6,1.6,2,1,26.9,75,9.89
38,Male,61.3,197.0,177,146,51,1100.0,Cardio,23.5,2.8,3,1,15.8,82,13.41
49,Female,44.1,165.0,189,133,74,694.0,HIIT,26.7,1.8,4,2,16.2,70,9.91
40,Male,63.8,162.0,185,143,72,1022.0,HIIT,20.8,3.4,2,1,24.31,78,13.1
50,Female,55.4,155.0,175,122,65,1016.0,Fuerza,18.5,2.7,4,3,23.06,111,9.15
20,Female,74.7,158.0,172,166,62,863.0,Fuerza,32.8,2.4,3,2,29.92,62,13.92
35,Female,78.0,167.0,198,168,57,949.0,Fuerza,33.3,2.5,4,2,27.97,68,13.96
48,Male,69.0,174.0,160,167,58,1223.0,HIIT,30.0,2.3,3,2,22.79,89,13.74
20,Female,75.8,178.0,197,133,53,944.0,HIIT,27.4,2.0,4,2,23.92,85,11.11
57,Female,75.7,163.0,161,131,60,407.0,Cardio,32.6,2.3,3,1,28.49,41,9.93
41,Female,71.2,164.0,165,147,54,939.0,HIIT,30.9,2.3,3,2,26.47,85,11.05
49,Male,85.0,168.0,197,163,74,1468.0,HIIT,11.3,3.5,4,3,30.12,109,13.47
39,Female,63.6,156.0,183,148,66,903.0,Fuerza,34.8,2.4,2,1,26.13,73,12.37
40,Male,73.2,194.0,177,162,69,722.0,Fuerza,29.0,2.4,2,1,19.45,49,14.73
19,Female,48.3,152.0,186,136,56,653.0,Fuerza,26.3,1.6,2,1,20.91,58,11.26
44,Female,42.8,178.0,167,159,64,1066.0,Fuerza,25.3,2.6,3,2,13.51,89,11.98
59,Male,88.1,176.0,187,168,74,1123.0,Fuerza,26.9,3.0,3,2,28.44,81,13.86
19,Female,72.4,175.0,169,140,64,840.0,Cardio,31.0,1.7,4,2,23.64,72,11.67
43,Male,73.2,188.0,176,142,63,822.0,Cardio,29.4,3.3,3,1,20.71,70,11.74
34,Male,110.5,186.0,188,139,62,1086.0,Cardio,22.3,3.6,2,1,31.94,85,12.78
57,Female,46.1,176.0,165,130,60,842.0,Fuerza,25.8,1.7,3,2,14.88,86,9.79
26,Female,59.3,151.0,181,129,71,1096.0,Fuerza,15.1,2.7,5,3,26.01,102,10.75
56,Female,45.1,173.0,165,129,73,482.0,Fuerza,25.4,2.6,3,1,15.07,50,9.64
46,Male,45.0,177.0,185,162,58,1187.0,Cardio,29.1,3.6,3,2,14.36,89,13.34
59,Male,89.4,162.0,198,125,59,885.0,Fuerza,23.5,3.6,3,2,34.06,86,10.29
43,Male,127.7,169.0,171,155,53,875.0,Cardio,24.1,2.9,3,2,44.71,68,12.87
52,Male,70.9,172.0,194,143,66,927.0,Fuerza,20.2,2.6,3,2,23.97,79,11.73
42,Female,49.2,150.0,173,131,63,678.0,HIIT,27.7,1.5,3,2,21.87,69,9.83
24,Female,69.7,175.0,166,146,60,1029.0,Cardio,32.5,2.0,3,1,22.76,85,12.11
53,Female,56.9,159.0,199,164,65,1100.0,HIIT,29.5,2.0,3,2,22.51,89,12.36
18,Female,72.7,155.0,172,125,56,525.0,Cardio,29.8,2.0,3,1,30.26,50,10.5
25,Male,76.5,196.0,180,120,59,442.0,Fuerza,23.2,2.3,3,1,19.91,40,11.05
33,Male,113.6,199.0,169,125,58,949.0,Fuerza,28.4,3.4,2,1,28.69,83,11.43
